f[Hz]	Re[Y11]	Im[Y11]	Re[Y21]	Im[Y21]	Re[Y12]	Im[Y12]	Re[Y22]	Im[Y22]
7.4768066e+011	122.145868	979.868527	507.280759	-389.489197	36.568672	-287.444732	129.082017	655.210444
7.6293945e+011	126.543427	999.612444	510.727306	-397.740357	36.765297	-295.060251	131.471762	674.286471
7.7819824e+011	130.822216	1019.210787	513.901086	-406.932474	36.575546	-302.877809	134.577038	693.299366
7.9345703e+011	134.940857	1038.904967	516.470519	-416.530903	35.739039	-310.489260	138.227898	712.297681
8.0871582e+011	139.101257	1058.792967	518.536281	-426.087176	34.580399	-317.381166	142.557184	731.316206
8.2397461e+011	143.402613	1078.707860	520.380100	-435.330674	33.723143	-323.632796	147.657849	750.063659
8.3923340e+011	147.669535	1098.565260	522.442595	-444.233379	33.309633	-329.768492	153.213448	768.258147
8.5449219e+011	151.802775	1118.577108	525.054016	-453.204559	33.003739	-335.984796	158.799138	786.098420
8.6975098e+011	156.039615	1138.892104	527.974438	-462.779339	32.695243	-342.060699	164.467911	804.065224
8.8500977e+011	160.587902	1159.274670	530.607578	-472.945177	32.612069	-347.990920	170.728754	822.262414
9.0026855e+011	165.230427	1179.463501	532.781440	-483.191569	32.713153	-354.080576	177.907844	840.222900
9.1552734e+011	169.654634	1199.649107	534.848254	-493.297676	32.600448	-360.311242	185.766046	857.416710
9.3078613e+011	174.011652	1220.197508	536.936485	-503.519936	32.202000	-366.211745	193.798351	873.724075
9.4604492e+011	178.719469	1241.017766	538.731511	-513.867299	31.992537	-371.566985	201.664936	889.342759
9.6130371e+011	183.774711	1261.653058	540.225874	-523.858799	32.315180	-376.749418	209.214188	904.499596
9.7656250e+011	188.716241	1281.994916	542.027336	-533.331309	32.964644	-382.129706	216.347207	919.445375
9.9182129e+011	193.325423	1302.457075	544.510966	-542.873407	33.659111	-387.635243	223.128029	934.520819
1.0070801e+012	197.594128	1322.832694	546.704431	-552.235134	34.280511	-393.703922	227.983476	950.261311
1.0223389e+012	201.644784	1342.774691	548.343799	-560.988292	34.707799	-400.412206	231.037085	966.522535
1.0375977e+012	205.747845	1362.670415	550.036675	-569.727876	34.995039	-407.169366	234.222906	982.961055
1.0528564e+012	209.870159	1382.533161	551.837835	-578.493064	35.119635	-413.898830	237.600649	999.549866
1.0681152e+012	213.996814	1402.391038	553.722893	-587.341769	35.131257	-420.522309	241.155836	1016.236091
1.0833740e+012	218.128418	1422.266342	555.636248	-596.250326	35.122607	-427.033096	244.829733	1033.038022
1.0986328e+012	222.263133	1442.176751	557.611598	-605.147975	35.142309	-433.497681	248.622545	1050.037571
1.1138916e+012	226.403287	1462.155538	559.758274	-614.060545	35.162593	-439.974887	252.607270	1067.281079
1.1291504e+012	230.588610	1482.239923	562.096207	-623.130347	35.141177	-446.468000	256.841151	1084.753210
1.1444092e+012	234.889818	1502.416757	564.490139	-632.441463	35.065368	-452.971473	261.338940	1102.459244
1.1596680e+012	239.335141	1522.609468	566.815026	-641.905001	34.902316	-459.502125	266.163393	1120.450540
1.1749268e+012	243.869001	1542.759720	569.110310	-651.399025	34.571665	-466.026381	271.464036	1138.714709
1.1901855e+012	248.430232	1562.896205	571.469993	-660.948249	34.048068	-472.413736	277.355424	1157.101794
1.2054443e+012	253.043287	1583.064538	573.843583	-670.639987	33.449179	-478.555627	283.799835	1175.431900
1.2207031e+012	257.755642	1603.213692	576.092221	-680.400777	32.927175	-484.500627	290.675628	1193.638594
1.2359619e+012	262.494330	1623.246704	578.237339	-690.005342	32.502477	-490.379295	297.914092	1211.740869
1.2512207e+012	267.087281	1643.199429	580.524557	-699.325890	32.102381	-496.234818	305.484250	1229.733084
1.2664795e+012	271.465792	1663.274015	583.226279	-708.470124	31.712823	-502.044451	313.296757	1247.621296
1.2817383e+012	275.767861	1683.646043	586.476296	-717.685479	31.345395	-507.855043	321.269961	1265.544162
1.2969971e+012	280.196257	1704.303934	590.261120	-727.247088	30.895303	-513.719961	329.508010	1283.706952
1.3122559e+012	284.840440	1725.115172	594.414233	-737.405349	30.231226	-519.521174	338.282572	1302.150989
1.3275146e+012	289.674398	1745.975546	598.622295	-748.261909	29.427896	-525.064230	347.792046	1320.697478
1.3427734e+012	294.649044	1766.847201	602.603334	-759.672857	28.692671	-530.366015	358.047594	1339.151922
1.3580322e+012	299.731383	1787.724218	606.290618	-771.404936	28.036645	-535.622210	369.027509	1357.431321
1.3732910e+012	304.915284	1808.611763	609.720778	-783.337124	27.259360	-540.857297	380.784636	1375.433506
1.3885498e+012	310.225565	1829.477871	612.869898	-795.335753	26.301360	-545.866299	393.301795	1392.944696
1.4038086e+012	315.630528	1850.214202	615.889312	-807.102814	25.331880	-550.557835	406.381794	1409.810992
1.4190674e+012	320.943762	1870.760770	619.365379	-818.577533	24.418031	-555.053706	419.824196	1426.092247
1.4343262e+012	325.964821	1891.291927	623.813535	-830.459155	23.430139	-559.364294	433.617976	1441.914524
1.4495850e+012	330.768630	1912.101133	628.809843	-843.778296	22.372602	-563.313333	447.839280	1457.271684
1.4648438e+012	335.663522	1933.216640	633.127602	-858.755929	21.426840	-566.895219	462.482291	1472.099087
1.4801025e+012	340.742446	1954.329830	635.933692	-874.533918	20.534842	-570.279361	477.542552	1486.401841
1.4953613e+012	345.670970	1975.262311	637.392603	-890.183828	19.419788	-573.291855	493.121064	1500.127737
