f[Hz]	Si_D(f)	Si_G(f)	Si_G-D(f).re	Si_G-D(f).im
2.2278e+012	6.4262e-017	3.3107e-017	2.1193e-017	2.3472e-017
2.2430e+012	6.5229e-017	3.3940e-017	2.1672e-017	2.3956e-017
2.2583e+012	6.6198e-017	3.4773e-017	2.2157e-017	2.4438e-017
2.2736e+012	6.7166e-017	3.5609e-017	2.2643e-017	2.4918e-017
2.2888e+012	6.8137e-017	3.6450e-017	2.3130e-017	2.5402e-017
2.3041e+012	6.9102e-017	3.7291e-017	2.3617e-017	2.5886e-017
2.3193e+012	7.0063e-017	3.8147e-017	2.4108e-017	2.6375e-017
2.3346e+012	7.1048e-017	3.9044e-017	2.4624e-017	2.6882e-017
2.3499e+012	7.2053e-017	3.9984e-017	2.5164e-017	2.7409e-017
2.3651e+012	7.3056e-017	4.0951e-017	2.5713e-017	2.7943e-017
2.3804e+012	7.4054e-017	4.1943e-017	2.6260e-017	2.8479e-017
2.3956e+012	7.5056e-017	4.2983e-017	2.6822e-017	2.9023e-017
2.4109e+012	7.6100e-017	4.4101e-017	2.7434e-017	2.9595e-017
2.4261e+012	7.7231e-017	4.5286e-017	2.8107e-017	3.0212e-017
2.4414e+012	7.8422e-017	4.6486e-017	2.8799e-017	3.0853e-017
2.4567e+012	7.9612e-017	4.7687e-017	2.9494e-017	3.1494e-017
2.4719e+012	8.0795e-017	4.8912e-017	3.0190e-017	3.2130e-017
2.4872e+012	8.1985e-017	5.0149e-017	3.0890e-017	3.2778e-017
2.5024e+012	8.3183e-017	5.1413e-017	3.1607e-017	3.3426e-017
2.5177e+012	8.4421e-017	5.2777e-017	3.2386e-017	3.4084e-017
2.5330e+012	8.5699e-017	5.4237e-017	3.3229e-017	3.4750e-017
2.5482e+012	8.6997e-017	5.5741e-017	3.4106e-017	3.5421e-017
2.5635e+012	8.8364e-017	5.7426e-017	3.5088e-017	3.6139e-017
2.5787e+012	8.9905e-017	5.9537e-017	3.6334e-017	3.6935e-017
2.5940e+012	9.1662e-017	6.2074e-017	3.7899e-017	3.7778e-017
2.6093e+012	9.3572e-017	6.4817e-017	3.9657e-017	3.8608e-017
2.6245e+012	9.5523e-017	6.7607e-017	4.1462e-017	3.9452e-017
2.6398e+012	9.7473e-017	7.0424e-017	4.3268e-017	4.0296e-017
2.6550e+012	9.9460e-017	7.3289e-017	4.5100e-017	4.1175e-017
2.6703e+012	1.0151e-016	7.6226e-017	4.6985e-017	4.2098e-017
2.6855e+012	1.0360e-016	7.9212e-017	4.8913e-017	4.3037e-017
2.7008e+012	1.0570e-016	8.2184e-017	5.0852e-017	4.3977e-017
2.7161e+012	1.0781e-016	8.5151e-017	5.2796e-017	4.4911e-017
2.7313e+012	1.0992e-016	8.8192e-017	5.4769e-017	4.5846e-017
2.7466e+012	1.1205e-016	9.1322e-017	5.6766e-017	4.6793e-017
2.7618e+012	1.1420e-016	9.4542e-017	5.8805e-017	4.7776e-017
2.7771e+012	1.1645e-016	9.7952e-017	6.0984e-017	4.8779e-017
2.7924e+012	1.1874e-016	1.0159e-016	6.3333e-017	4.9769e-017
2.8076e+012	1.2103e-016	1.0534e-016	6.5760e-017	5.0746e-017
2.8229e+012	1.2332e-016	1.0913e-016	6.8209e-017	5.1725e-017
2.8381e+012	1.2562e-016	1.1301e-016	7.0697e-017	5.2707e-017
2.8534e+012	1.2798e-016	1.1701e-016	7.3268e-017	5.3684e-017
2.8687e+012	1.3041e-016	1.2114e-016	7.5945e-017	5.4664e-017
2.8839e+012	1.3285e-016	1.2533e-016	7.8659e-017	5.5645e-017
2.8992e+012	1.3527e-016	1.2953e-016	8.1373e-017	5.6630e-017
2.9144e+012	1.3782e-016	1.3385e-016	8.4210e-017	5.7624e-017
2.9297e+012	1.4062e-016	1.3843e-016	8.7306e-017	5.8628e-017
2.9449e+012	1.4357e-016	1.4329e-016	9.0642e-017	5.9669e-017
2.9602e+012	1.4658e-016	1.4832e-016	9.4115e-017	6.0736e-017
2.9755e+012	1.4967e-016	1.5345e-016	9.7683e-017	6.1809e-017
2.9907e+012	1.5286e-016	1.5875e-016	1.0138e-016	6.2881e-017
3.0060e+012	1.5610e-016	1.6419e-016	1.0518e-016	6.3950e-017
3.0212e+012	1.5935e-016	1.6965e-016	1.0900e-016	6.5018e-017
3.0365e+012	1.6259e-016	1.7512e-016	1.1282e-016	6.6077e-017
3.0518e+012	1.6583e-016	1.8075e-016	1.1673e-016	6.7149e-017
3.0670e+012	1.6915e-016	1.8651e-016	1.2075e-016	6.8243e-017
3.0823e+012	1.7258e-016	1.9235e-016	1.2487e-016	6.9340e-017
3.0975e+012	1.7610e-016	1.9826e-016	1.2908e-016	7.0418e-017
3.1128e+012	1.7970e-016	2.0417e-016	1.3335e-016	7.1474e-017
3.1281e+012	1.8331e-016	2.1008e-016	1.3764e-016	7.2525e-017
3.1433e+012	1.8690e-016	2.1600e-016	1.4193e-016	7.3575e-017
3.1586e+012	1.9044e-016	2.2196e-016	1.4622e-016	7.4617e-017
3.1738e+012	1.9395e-016	2.2795e-016	1.5052e-016	7.5672e-017
3.1891e+012	1.9747e-016	2.3395e-016	1.5483e-016	7.6729e-017
3.2043e+012	2.0098e-016	2.3997e-016	1.5916e-016	7.7789e-017
3.2196e+012	2.0450e-016	2.4602e-016	1.6350e-016	7.8855e-017
3.2349e+012	2.0807e-016	2.5214e-016	1.6790e-016	7.9937e-017
3.2501e+012	2.1168e-016	2.5830e-016	1.7234e-016	8.1023e-017
3.2654e+012	2.1530e-016	2.6449e-016	1.7679e-016	8.2110e-017
3.2806e+012	2.1891e-016	2.7069e-016	1.8125e-016	8.3184e-017
3.2959e+012	2.2246e-016	2.7688e-016	1.8569e-016	8.4234e-017
3.3112e+012	2.2593e-016	2.8311e-016	1.9012e-016	8.5283e-017
3.3264e+012	2.2939e-016	2.8944e-016	1.9461e-016	8.6319e-017
3.3417e+012	2.3292e-016	2.9584e-016	1.9918e-016	8.7343e-017
3.3569e+012	2.3648e-016	3.0227e-016	2.0379e-016	8.8349e-017
3.3722e+012	2.4002e-016	3.0876e-016	2.0843e-016	8.9335e-017
3.3875e+012	2.4358e-016	3.1528e-016	2.1309e-016	9.0332e-017
3.4027e+012	2.4712e-016	3.2179e-016	2.1775e-016	9.1314e-017
3.4180e+012	2.5057e-016	3.2830e-016	2.2239e-016	9.2252e-017
3.4332e+012	2.5395e-016	3.3481e-016	2.2703e-016	9.3154e-017
3.4485e+012	2.5731e-016	3.4129e-016	2.3168e-016	9.4030e-017
3.4637e+012	2.6066e-016	3.4771e-016	2.3633e-016	9.4871e-017
3.4790e+012	2.6399e-016	3.5406e-016	2.4097e-016	9.5670e-017
3.4943e+012	2.6733e-016	3.6038e-016	2.4561e-016	9.6462e-017
