f[Hz]	Cgd[F/m]	Cgs[F/m]	Cds[F/m]	Ri[ohm/m]	gm0[S/m]	gds[S/m]	tau[s]
1.8615723e+012	5.0762163e-011	1.7754747e-010	1.7659237e-010	1.3536836e-004	724.598853	689.057145	4.1493342e-014
1.8768311e+012	4.9331156e-011	1.7787242e-010	1.7225355e-010	1.3524648e-004	704.112697	627.174716	3.5312046e-014
1.8920898e+012	4.8107268e-011	1.7772049e-010	1.7076366e-010	1.3537654e-004	713.259120	536.698869	2.7038476e-014
1.9073486e+012	4.8163807e-011	1.7507923e-010	1.7459611e-010	1.3894037e-004	742.090902	441.646616	1.7041478e-014
1.9226074e+012	5.1968020e-011	1.6568398e-010	1.8554463e-010	1.4566968e-004	789.873680	369.897785	2.0631985e-015
1.9378662e+012	5.9574788e-011	1.5048793e-010	2.0201662e-010	1.4017538e-004	921.950363	330.318876	1.1712279e-014
1.9531250e+012	6.5779668e-011	1.4236850e-010	2.1836249e-010	9.6458860e-005	1149.334194	319.020100	7.3080454e-015
1.9683838e+012	6.4358956e-011	1.5574595e-010	2.2895615e-010	4.6275762e-005	1391.564900	349.663941	1.4361934e-014
1.9836426e+012	5.6210238e-011	1.8473092e-010	2.3325612e-010	4.0989024e-005	1588.518420	460.056331	3.8749227e-014
1.9989014e+012	5.0425861e-011	2.0848404e-010	2.3502446e-010	6.6722082e-005	1632.307464	667.198782	5.6455913e-014
