f[Hz]	Xd(f).re	Xd(f).im	Xg(f).re	Xg(f).im
2.0905e+012	2.1380e-009	-3.4341e-009	4.1998e-009	5.1807e-009
2.1057e+012	-1.8287e-009	-5.8098e-010	7.6940e-010	-4.4433e-009
2.1210e+012	1.3981e-009	4.2579e-010	-1.6793e-009	1.0131e-009
2.1362e+012	1.3727e-009	-2.4049e-009	-9.9959e-010	-1.4356e-009
2.1515e+012	-3.0455e-009	-4.7541e-009	-2.8761e-009	3.4391e-009
2.1667e+012	-7.4376e-009	4.2054e-009	2.9282e-009	3.3500e-009
2.1820e+012	5.2587e-009	6.0907e-009	4.2452e-009	-6.2803e-011
2.1973e+012	7.0034e-010	-4.8897e-009	1.9815e-009	-4.8934e-009
2.2125e+012	-2.8951e-009	5.4823e-009	-3.3768e-009	-1.7648e-009
2.2278e+012	8.8192e-009	2.8593e-010	-9.2800e-010	-2.9878e-010
2.2430e+012	-1.8340e-009	-7.5713e-009	-3.4278e-009	1.2918e-009
2.2583e+012	-2.4195e-009	2.6379e-009	2.2118e-009	3.6059e-009
2.2736e+012	1.5151e-009	-3.8124e-009	1.5050e-009	-1.7765e-009
2.2888e+012	-7.3770e-009	9.5298e-010	2.3226e-010	2.3750e-010
2.3041e+012	2.2284e-009	6.4337e-009	2.8468e-010	-1.8797e-009
2.3193e+012	3.2388e-009	6.4432e-011	-1.4958e-009	3.7719e-010
2.3346e+012	4.5630e-009	-2.0273e-009	4.9551e-010	-5.3009e-010
2.3499e+012	-3.8017e-009	-6.5050e-009	-2.6267e-009	-2.5549e-010
2.3651e+012	-3.2824e-009	4.7678e-009	-3.3024e-010	3.7239e-009
2.3804e+012	1.6807e-009	-1.5477e-009	3.4535e-009	3.1347e-010
2.3956e+012	-2.1757e-009	2.5408e-009	-6.3806e-010	-1.5992e-009
2.4109e+012	1.6313e-009	-1.8167e-009	1.3708e-009	1.9101e-009
2.4261e+012	-4.6027e-009	5.1564e-009	1.5535e-009	-3.4405e-009
2.4414e+012	1.0293e-008	2.0008e-009	-2.2352e-009	1.2018e-009
2.4567e+012	-2.6025e-009	-6.6415e-009	4.4504e-009	-2.1262e-009
2.4719e+012	3.0151e-009	3.0810e-009	-6.2066e-009	-5.4060e-009
2.4872e+012	-3.3810e-010	-8.7152e-009	-3.2644e-009	6.3669e-009
2.5024e+012	-5.4446e-009	1.1132e-009	2.5232e-009	-3.7710e-010
2.5177e+012	-3.7150e-009	-1.3197e-009	-3.4617e-009	2.0433e-009
2.5330e+012	-3.8438e-009	7.9475e-009	4.4712e-009	4.7868e-009
2.5482e+012	4.0346e-009	2.3820e-009	3.6235e-009	-4.8007e-009
2.5635e+012	3.2677e-009	5.8362e-009	-4.4270e-009	2.7429e-010
2.5787e+012	1.1282e-008	-8.3677e-009	5.2467e-009	3.4677e-009
2.5940e+012	-1.1702e-008	-6.7700e-009	1.0386e-009	-7.4727e-009
2.6093e+012	1.3215e-009	8.1664e-009	-4.1462e-009	2.3426e-009
2.6245e+012	1.3278e-009	-3.2181e-009	4.3148e-009	-2.6772e-009
2.6398e+012	1.9492e-009	1.3544e-009	-6.8283e-009	-3.2555e-009
2.6550e+012	-1.1690e-009	-6.4887e-009	-2.9053e-010	3.8035e-009
2.6703e+012	-5.3029e-009	2.8649e-009	-4.5266e-009	-2.1208e-009
2.6855e+012	2.0166e-010	1.5078e-009	-2.9611e-009	1.1677e-008
2.7008e+012	-1.8855e-010	2.7855e-009	1.2683e-008	3.0462e-009
2.7161e+012	1.6625e-009	6.5164e-010	3.1168e-009	-7.8419e-009
2.7313e+012	2.8499e-009	3.2713e-010	-1.0037e-009	-2.9389e-009
2.7466e+012	-3.4546e-009	-4.3712e-009	-2.5081e-009	-4.2668e-009
2.7618e+012	4.3669e-010	1.2005e-008	-6.4653e-009	2.7069e-009
2.7771e+012	1.5946e-008	-1.0400e-008	3.7419e-009	5.7969e-009
2.7924e+012	-1.5500e-008	-9.8296e-009	3.7328e-009	-3.8596e-009
2.8076e+012	-3.1795e-010	8.7523e-009	-1.1552e-009	-2.4942e-009
2.8229e+012	-3.3549e-009	-2.3450e-009	-3.3405e-009	-3.4286e-009
2.8381e+012	1.6776e-009	7.6053e-009	-6.3531e-009	4.9766e-009
2.8534e+012	4.1455e-010	-2.3827e-009	4.8278e-009	5.2485e-009
2.8687e+012	5.0849e-009	8.1031e-009	1.3753e-009	-2.4281e-009
2.8839e+012	8.0754e-009	-1.2096e-008	-3.4288e-010	2.3062e-009
2.8992e+012	-7.3255e-009	-2.6666e-009	4.3675e-009	7.0012e-010
2.9144e+012	-2.2123e-009	-7.5482e-009	1.8849e-009	-5.0311e-009
2.9297e+012	-1.8697e-008	8.3897e-009	-4.1427e-009	-5.0700e-010
2.9449e+012	1.1074e-008	1.6618e-008	3.6429e-009	1.3110e-009
